LMids,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
17.5,315.5944249,355.9307756,357.5260859,353.6723343,349.9331294,346.884882,344.5301569,341.9983565,337.7985637,334.1283675,330.7479453,327.6239243,325.3367153,323.494658,322.1641239,320.862411,319.9721423,319.0568166,318.3401505,317.3850859,316.7753716,316.3929668,315.8888218,315.321258,315.1055252,314.9205729,314.5220863,314.6139618,314.065646,313.8385473,313.7550115,313.9268393,313.9316555,313.9424279,313.5943952,313.6684862,313.4309254,313.5460131,313.6254376,313.6110851,313.4363259,313.2217899,313.6365267,313.4862516,313.5243398,313.2560909,313.2203429,313.4207351,313.2234691,312.9372464
18,450.8590468,508.2467878,508.7899929,503.0155883,497.7129914,493.4543096,490.0445816,487.4236679,481.5042568,476.2206041,471.5001217,466.7744042,463.439574,460.5777501,458.7646626,456.7263205,455.533477,454.1008819,453.2301395,451.7927635,450.8109663,450.2850103,449.6497525,448.7526067,448.3139806,448.2977441,447.3915384,447.8349381,446.9479294,446.619885,446.3338311,446.6904711,446.5891068,446.8735826,446.1319512,446.414021,445.9436948,446.0858848,446.2475355,446.2182428,446.1676944,445.4652436,446.3275259,445.9985884,446.1896957,445.7870821,445.5788349,445.9567224,445.8453171,445.1840721
18.5,617.1869513,695.5912028,694.3196821,685.901688,678.6382274,672.8823537,668.2380235,665.0592132,657.3200765,650.0791601,643.6638198,637.1327488,632.4623954,628.4438025,625.9321883,623.1073448,621.4509671,619.4723635,618.3041739,616.3621227,614.9461889,614.2042072,613.3812319,612.1450389,611.4616395,611.5050032,610.2078965,610.8299337,609.684291,609.1907432,608.7337533,609.2147303,609.0713902,609.5342785,608.5073476,608.8805288,608.2473283,608.384647,608.6235768,608.5951963,608.6048638,607.5428118,608.7028825,608.3037884,608.5760144,608.06545,607.704334,608.2107079,608.1631705,607.204399
19,735.9193966,829.2275618,823.9193235,812.6816893,803.9460248,797.1850575,791.7613454,788.0591665,779.7496646,771.1538335,763.5202315,755.8371797,750.0518179,745.2188768,742.0507298,738.7707766,736.6508163,734.3711073,732.8856488,730.7147202,728.9470923,727.979314,727.0361004,725.6306848,724.7252121,724.6969778,723.3445364,723.806048,722.7311953,722.0298938,721.4769002,721.9145406,721.8412429,722.3164456,721.3130984,721.5430947,720.9496646,720.9821814,721.2628024,721.2702391,721.2917168,720.1622428,721.2111002,720.988533,721.2047003,720.7255328,720.2523471,720.7298314,720.7815205,719.7561901
19.5,795.0646671,895.5756463,882.8543245,868.2586955,858.5891773,851.4534089,845.8228921,841.8200157,834.5429955,825.4037292,817.1729386,809.1166251,802.4856363,797.2143382,793.4519654,790.0924321,787.5259377,785.2230535,783.4254065,781.3556526,779.3293786,778.1206474,777.1514608,775.7788844,774.6608431,774.4314283,773.3850995,773.3220812,772.6999397,771.7546821,771.1639565,771.363999,771.4753459,771.8054239,771.1701525,771.0042444,770.6710423,770.4780743,770.7552444,770.8410585,770.8504367,769.9556515,770.4297997,770.6557142,770.6818255,770.4006885,769.8477588,770.109722,770.3273214,769.4913
20,849.5592163,956.569387,933.321067,913.7576464,902.8515144,895.4201662,889.7241655,885.4502302,879.8745439,870.5060647,861.7530265,853.4744114,845.9323391,840.1997146,835.7358636,832.3504411,829.2730593,826.9911098,824.8379577,822.9629282,820.683595,819.1678561,818.1763741,816.9068983,815.5524436,815.0284856,814.4314083,813.6802408,813.6486405,812.460561,811.81991,811.6795693,812.0149732,812.1469913,812.0322214,811.3685302,811.364683,810.9008085,811.135126,811.3245141,811.321283,810.7935654,810.480644,811.2494841,811.0613157,811.0425249,810.4296912,810.3743295,810.7820799,810.2651377
20.5,931.7246469,1048.730356,1013.585211,986.8466285,973.675322,965.6032796,959.6750435,955.0614242,950.7909399,941.3406584,931.8510461,923.0701506,914.5010177,908.0371509,902.7620233,899.1295114,895.5287582,893.1033235,890.5941496,888.7688796,886.2538525,884.3773646,883.2815093,882.0681228,880.4935567,879.6493353,879.3729983,878.0945973,878.4339174,877.1308372,876.3742073,875.9257551,876.3966996,876.4075519,876.702443,875.6946244,875.8720966,875.2322484,875.3758691,875.655207,875.6616091,875.4383766,874.5039101,875.6034417,875.3416838,875.5016683,874.8774329,874.5278914,875.0483741,874.8392078
21,1014.860235,1142.061116,1095.526063,1059.620046,1042.983991,1033.972939,1027.766253,1022.923663,1019.277699,1010.367858,1000.294238,990.9440503,981.6155957,974.3120076,968.3361248,964.247303,960.297601,957.5645869,954.833306,952.8777632,950.2773731,948.0773174,946.7898511,945.5848894,943.9082135,942.7809579,942.5680032,941.1503094,941.4363936,940.2832503,939.3587196,938.710963,939.1298291,939.1581577,939.6122342,938.6017536,938.6913438,938.0723933,938.0601298,938.3763598,938.4281015,938.3712521,937.2173297,938.2099918,938.1133573,938.2936079,937.7593846,937.2159513,937.6819843,937.7183028
21.5,1067.388983,1200.99849,1144.23859,1097.573861,1076.130565,1065.890345,1059.512861,1054.706727,1051.285979,1043.836821,1033.796691,1024.161542,1014.611806,1006.610103,1000.175377,995.5590829,991.5064101,988.4140351,985.6425201,983.4733889,980.9957853,978.5864475,977.0582671,975.8504169,974.2332093,972.8909752,972.5171524,971.3258058,971.2048943,970.4438812,969.3696312,968.6176189,968.7993336,968.9432826,969.3438216,968.6542749,968.4470149,968.0155988,967.8023767,968.0827315,968.2079614,968.2159708,967.2234911,967.7082986,967.9482844,968.0375527,967.6951206,967.07155,967.3138421,967.5345221
22,1093.981888,1230.771002,1164.700972,1106.125448,1078.107048,1065.902976,1059.286038,1054.681209,1051.373261,1045.870778,1036.574948,1026.996466,1017.610296,1009.13235,1002.375313,997.2413891,993.1816749,989.7690215,987.0278093,984.6556676,982.3919707,979.9021709,978.1213904,976.8867982,975.4233806,973.9449148,973.294656,972.4663437,971.8528725,971.5077186,970.3876087,969.5689415,969.4281075,969.6781713,969.9479028,969.701491,969.1859486,968.9601894,968.5753402,968.7514075,968.9482086,968.9848993,968.3375759,968.1943309,968.7317653,968.7420709,968.6141044,968.0096324,967.9524977,968.276323
22.5,1113.881682,1253.033041,1178.641203,1107.881845,1071.22789,1055.638343,1048.288709,1043.799645,1040.600176,1036.802035,1028.811097,1019.568506,1010.457478,1001.72901,994.6431155,989.0368845,984.8694545,981.2228147,978.4420162,975.9293035,973.8076064,971.3513253,969.3471543,968.0249021,966.7054359,965.1812092,964.2476152,963.6723919,962.7464383,962.6024335,961.5921478,960.7117346,960.2806949,960.5264847,960.7037384,960.8014398,960.1593277,960.0148883,959.5629097,959.5889833,959.8174984,959.8866601,959.566054,958.9868474,959.57997,959.6180579,959.63758,959.134266,958.8231251,959.1307149
23,1132.834545,1274.259534,1193.121978,1111.06734,1063.998477,1043.066424,1034.00819,1029.285879,1026.170307,1023.451275,1017.127386,1008.556886,999.7709309,991.0513347,983.6374595,977.638821,973.2012216,969.4107267,966.4832359,963.9011432,961.7907314,959.4558584,957.3050599,955.8315316,954.5858492,953.1075187,951.9569254,951.4192036,950.4509948,950.2312598,949.4544231,948.5372904,947.9099689,948.0122543,948.1603827,948.4092335,947.8780294,947.6708019,947.2628796,947.130999,947.3276829,947.4373649,947.3318006,946.6424849,947.0139521,947.1714913,947.2499864,946.9035024,946.4585671,946.6292409
23.5,1146.991825,1290.119383,1204.104076,1112.44844,1054.01949,1025.601738,1013.365752,1007.742272,1004.541063,1002.311984,997.7298442,990.2509611,981.9549641,973.5141589,965.889463,959.5946068,954.7917719,950.8941638,947.7670508,945.1485584,942.9655461,940.7850839,938.5926489,936.9450502,935.693148,934.3183225,933.0480493,932.3799868,931.5380947,931.0958589,930.5615634,929.6747818,928.9442082,928.8168089,928.9469882,929.1961514,928.9157047,928.6020429,928.2837188,928.0308325,928.1365155,928.2749362,928.2820872,927.7326607,927.7545524,928.0152948,928.1091053,927.9308655,927.4804516,927.4538114
24,1155.446482,1299.584325,1210.240645,1110.927341,1041.284897,1003.487199,986.1657831,978.5295555,974.7726037,972.5688401,969.4203713,963.3681942,955.8329305,947.8947373,940.2786834,933.7838376,928.6190804,924.5740672,921.2529696,918.5731023,916.2982252,914.2342194,912.0931603,910.302655,908.9796608,907.7054725,906.4085269,905.5543944,904.8399355,904.2048232,903.805689,903.027644,902.2645709,901.9086768,901.9704397,902.1543894,902.1135054,901.7657071,901.5108612,901.2037332,901.1889576,901.3208536,901.3807767,901.0582406,900.8042067,901.0531599,901.1640435,901.1206278,900.7572906,900.5604672
24.5,1160.574663,1305.320916,1213.711944,1108.641079,1028.953351,980.6053084,956.1162502,944.8647522,939.6493373,936.9505874,934.5899968,930.0088824,923.499639,916.2379322,908.8860641,902.3097506,896.8590376,892.5944796,889.0986004,886.301218,883.9394776,881.9120107,879.8693069,878.0031443,876.573367,875.3479756,874.0872343,873.0821283,872.3968849,871.6807522,871.2783131,870.6462773,869.9068364,869.3884245,869.3165127,869.4185856,869.5111051,869.2368151,869.0029307,868.7038945,868.5785604,868.6607109,868.7395111,868.6082158,868.2581109,868.3776366,868.5061876,868.5443327,868.3097099,868.0300405
25,1163.6688,1308.779285,1215.671691,1106.589782,1018.722303,959.7346846,926.3075019,909.5135632,901.4693836,897.4755673,895.0404676,891.5678213,886.1967372,879.7453031,872.8859957,866.3933792,860.7769189,856.25963,852.589747,849.6278646,847.1710134,845.1043678,843.150383,841.2782383,839.7435601,838.5031137,837.2976642,836.2127421,835.4641418,834.7470802,834.2606222,833.7464916,833.0744528,832.4792463,832.2450748,832.2529376,832.364118,832.2181325,831.9963924,831.7376916,831.5415462,831.5451027,831.6141999,831.5960884,831.3030036,831.2599993,831.3758296,831.4487358,831.3379185,831.0694338
25.5,1164.149943,1309.305726,1215.348437,1103.776225,1009.892054,941.326079,898.0405325,873.8610602,861.287436,854.8153152,851.2783921,848.1427014,843.7155521,838.1084944,831.8847538,825.6621229,820.0241295,815.2947755,811.4402101,808.2930111,805.7131486,803.5571297,801.6400002,799.8026416,798.1951492,796.8960619,795.7259416,794.6218408,793.7776373,793.0684323,792.4933093,792.0277007,791.4421218,790.8418135,790.4696364,790.3664085,790.4201638,790.3786201,790.1922218,789.9782684,789.7593304,789.6831701,789.7158329,789.7418733,789.5660271,789.4175945,789.4772579,789.5516185,789.5296946,789.3322726
26,1160.252175,1304.912104,1210.757317,1098.030872,1000.316377,924.1645999,871.3207701,838.5555315,819.7845054,809.381006,803.5527524,799.6691873,795.5973994,790.6509833,785.0589979,779.2402035,773.7221054,768.8797556,764.8482873,761.5174963,758.7846032,756.509479,754.5637668,752.760209,751.1195682,749.7501971,748.5781611,747.4834719,746.5630142,745.8315419,745.1980464,744.7166742,744.2034458,743.6411782,743.1879293,742.9693016,742.9306478,742.9251348,742.7928883,742.6181865,742.4128677,742.2803569,742.2605026,742.2846669,742.2083576,742.0415355,742.0260208,742.0775346,742.1003528,741.9884986
26.5,1148.653227,1291.860478,1198.32921,1085.811319,986.4198517,905.2692284,844.457885,803.0646164,777.0053003,761.3085544,751.9486111,746.1001712,741.4588578,736.6931767,731.5291745,726.1170071,720.8138295,715.9723837,711.809776,708.3166578,705.4199294,703.0097803,700.9834281,699.1819912,697.5336511,696.1075056,694.9042124,693.8187173,692.858112,692.081434,691.4134775,690.8857522,690.4084672,689.8974346,689.4209877,689.1076316,688.9701764,688.9355802,688.8467504,688.7059299,688.5311444,688.3751503,688.3043225,688.3014003,688.2765911,688.1485694,688.0768005,688.0904667,688.1207556,688.0757686
27,1123.887313,1264.002651,1172.294883,1061.672161,962.8509859,879.6175901,813.5098974,764.8645037,731.5457039,709.8131961,695.9489166,687.0579051,680.8144958,675.5145365,670.3737899,665.2046967,660.1204619,655.3636026,651.1452117,647.5345182,644.4950243,641.953318,639.8240396,637.9888734,636.3388114,634.8805804,633.639123,632.5518571,631.5795759,630.7609681,630.0678587,629.4949957,629.0183626,628.5494666,628.0879814,627.7189388,627.4964256,627.3977825,627.3189933,627.2039322,627.0605204,626.9080256,626.8026362,626.7647082,626.7493637,626.670525,626.5799318,626.5551732,626.5701509,626.5607345
27.5,1078.770888,1213.258858,1125.118262,1018.641632,922.9200035,840.7192615,772.6972906,719.4844578,680.3455848,652.9397105,634.3094656,621.7825553,613.1430437,606.5861612,600.9663577,595.7545854,590.7949273,586.1522941,581.9587414,578.3011014,575.1752788,572.5368661,570.3198035,568.4380752,566.7862237,565.322816,564.0597813,562.9684345,562.002549,561.1650794,560.4551186,559.8548052,559.3626623,558.9188148,558.4879159,558.103773,557.8242784,557.6590787,557.5584068,557.4550207,557.3351111,557.1998593,557.0812826,557.0140261,556.9856146,556.9379805,556.8573478,556.8072961,556.7994091,556.7985468
28,1006.259182,1131.705627,1049.42407,949.9472959,860.2112588,782.2719559,716.0094472,661.7741371,619.5280353,588.0999116,565.4878863,549.5313829,538.2828795,530.0540128,523.5621561,518.0279932,513.0573787,508.5191194,504.4217564,500.8094996,497.6866156,495.024399,492.7744063,490.8724564,489.2334846,487.7953759,486.5450178,485.4666026,484.5247358,483.6994277,482.9915006,482.3876504,481.8864091,481.4571711,481.0591906,480.6899431,480.3876278,480.1755095,480.0401705,479.9335026,479.8268657,479.7109091,479.596135,479.5128254,479.4667537,479.4289603,479.3674094,479.3097249,479.2830239,479.2758261
28.5,902.4877858,1014.996477,941.1640676,851.8653226,771.1646658,700.6307903,639.6534911,588.1458797,546.2175987,513.4323087,488.6563389,470.3823949,457.0742235,447.3111357,439.883775,433.9171396,428.8634147,424.4312123,420.5010718,417.0416174,414.0358732,411.4555246,409.2621668,407.4056954,405.8219337,404.4496673,403.2575023,402.2276394,401.3358446,400.5556765,399.8793902,399.2994612,398.8109778,398.3999479,398.0355039,397.6989075,397.4049373,397.1749174,397.0130474,396.8959589,396.7948075,396.6945584,396.5925748,396.5071771,396.4496061,396.4101403,396.3634672,396.3107893,396.274836,396.2581218
29,769.8435079,865.8155432,802.8155224,726.6018695,657.6612121,597.2031829,544.4222773,498.9023217,460.6321545,429.4986871,404.9768341,386.1702603,372.013164,361.4328038,353.4344041,347.2016392,342.1459167,337.8893715,334.2186943,331.0287641,328.2651535,325.887787,323.8595534,322.1385975,320.676202,319.4218057,318.3382086,317.4020881,316.5947468,315.8924005,315.28086,314.7538815,314.305519,313.9280008,313.6024663,313.3086048,313.0456015,312.8255362,312.6570634,312.5337636,312.4358365,312.3477407,312.2612609,312.1838263,312.1243334,312.0821195,312.043736,312.0008183,311.9647487,311.9422267
29.5,618.2239656,695.2941552,644.6921385,583.4698977,528.0625648,479.387363,436.6588062,399.3249147,367.2184554,340.2934628,318.3531846,300.9493671,287.4408671,277.1079239,269.2272976,263.1439665,258.3303612,254.4044368,251.1147528,248.310668,245.9048461,243.8419788,242.0813435,240.585344,239.3155218,238.2331924,237.3045663,236.5043264,235.8156251,235.2195795,234.7008876,234.2523289,233.8683527,233.5430272,233.2657536,233.0211213,232.8021781,232.6122455,232.4578109,232.3398806,232.2485405,232.1717629,232.1007223,232.0363526,231.9829473,231.9421987,231.9089544,231.8755564,231.8448776,231.821945
30,463.1624228,520.9018909,482.9870407,437.111948,395.5831244,359.066838,326.9154789,298.6019804,273.8791036,252.6734551,234.9171381,220.4238779,208.8630535,199.8102313,192.7996304,187.371821,183.1205792,179.7226129,176.9419893,174.6200024,172.6553311,170.9835589,169.5610818,168.3531772,167.3285994,166.4584712,165.7162317,165.079189,164.5320328,164.0602575,163.6508859,163.2963725,162.9917855,162.732164,162.5113166,162.3194627,162.1495156,161.9999492,161.8735693,161.7727789,161.6940242,161.6300228,161.573857,161.5239307,161.4810396,161.4462943,161.4183414,161.3929337,161.3694752,161.3500229
30.5,321.2400561,361.2869073,334.9877729,303.1660846,274.3550751,249.0094023,226.6574118,206.8831152,189.4448118,174.2431718,161.2411205,150.3732548,141.4948796,134.388263,128.7885259,124.4119538,120.9859897,118.2752931,116.0934934,114.304066,112.812729,111.5569104,110.4947522,109.5954037,108.8337127,108.1883996,107.640313,107.1719444,106.7706585,106.4256023,106.1271634,105.8688409,105.6464434,105.4560641,105.2937685,105.1538876,105.0313917,104.923435,104.8302422,104.7533181,104.6918608,104.6423359,104.6003684,104.5641109,104.5327735,104.5064228,104.4848018,104.4661929,104.4495901,104.435167
31,204.971708,230.5241287,213.7426607,193.4368898,175.0507734,158.8719378,144.5917193,131.9251811,120.6850256,110.7751658,102.1610598,94.8199482,88.69826859,83.69976399,79.69216608,76.52090483,74.02543077,72.05643244,70.48698691,69.21736719,68.17399347,67.30547608,66.57675992,65.96273882,65.44417003,65.00584706,64.63477141,64.31890671,64.04904331,63.81752722,63.61786134,63.44530008,63.29661553,63.16900034,63.05988199,62.96609011,62.88466294,62.81322802,62.75097949,62.69836749,62.65531232,62.62039906,62.59132418,62.56681508,62.54583001,62.52788243,62.51280752,62.50005498,62.48909217,62.4794931
31.5,119.7055772,134.628439,124.8275077,112.9681486,102.2294332,92.77856918,84.43287713,77.01927741,70.41514561,64.54767262,59.38566099,54.91766217,51.12638926,47.97546305,45.40726802,43.34759136,41.71309837,40.42064893,39.39482734,38.57261101,37.90472665,37.354982,36.89787681,36.51516277,36.19328325,35.92198544,35.69294449,35.49862416,35.33307291,35.19135338,35.06941745,34.96423104,34.87360511,34.79571074,34.72893747,34.67154534,34.62197628,34.57874984,34.5410067,34.5086459,34.48161559,34.45941364,34.44100882,34.42573741,34.41284676,34.40179422,34.39235641,34.38435841,34.3776448,34.37183369
32,63.7270428,71.67144462,66.45362746,60.13990931,54.42263833,49.3906056,44.94586307,40.99422838,37.46582182,34.31489162,31.51839547,29.06813702,26.95850665,25.17776927,23.70418415,22.50644391,21.54638518,20.78322079,20.17759627,19.69470599,19.30586926,18.98899138,18.72791844,18.51092393,18.32938266,18.17692405,18.04857071,17.93998194,17.84771137,17.76888847,17.70120177,17.64291663,17.59272961,17.5495682,17.51250516,17.4806184,17.45314524,17.4293102,17.40853619,17.3905933,17.37537609,17.36269698,17.35215156,17.34346363,17.33622269,17.3300488,17.32473598,17.3201992,17.31642714,17.3132141